work_id,size_id,sale_price,regular_price
160228,24,85,85
160228,30,95,95
124551,7248,745,1425
124560,3624,315,565
160236,30,95,95
160244,24,85,85
160244,30,95,95
160252,24,85,85
160252,30,95,95
124560,4630,405,745
124560,5436,515,965
160260,30,95,95
160268,24,85,85
124560,6040,585,1105
160268,30,95,95
124560,7248,745,1425
124569,3624,315,565
125752,30,95,95
124569,4630,405,745
125752,3226,325,575
124569,6040,585,1105
124578,3624,315,565
124578,4630,405,745
124578,5436,515,965
124578,6040,585,1105
124578,7248,745,1425
124587,3624,315,565
124587,6040,585,1105
124587,7248,745,1425
135881,30,95,95
135881,2430,305,545
135892,2430,305,545
135892,2632,325,585
135892,3648,495,925
125752,6854,805,1535
125818,30,95,95
135903,3648,495,925
125818,4630,425,775
135903,5468,805,1545
23448,20,75,75
135914,3648,495,925
135914,4860,675,1285
135925,2632,325,585
23448,30,95,95
135925,2936,375,685
23448,3024,305,535
135925,3040,405,745
23448,3226,325,575
135925,3648,495,925
135925,4860,675,1285
23448,4030,405,735
135925,5468,805,1545
23448,4836,495,915
135936,2430,305,545
135936,5468,805,1545
135947,30,95,95
135947,2936,375,685
135947,3040,405,745
125763,4030,405,735
135947,3648,495,925
125763,4836,495,915
125763,6048,675,1275
125763,6854,805,1535
135958,2430,305,545
125774,30,95,95
135958,2632,325,585
125774,3024,305,535
125774,3226,325,575
135958,3040,405,745
135958,3648,495,925
135958,4860,675,1285
135958,5468,805,1545
125774,3629,375,675
31780,36,10,125
125774,4030,405,735
31780,30,10,95
125774,4836,495,915
125774,6048,675,1275
125774,6854,805,1535
31780,2436,345,605
125785,30,95,95
31780,3046,435,785
31780,3654,545,1005
31780,4060,615,1145
31780,4872,775,1465
125785,24,85,85
125785,3226,325,575
125785,4030,405,735
125785,6048,675,1275
125785,6854,805,1535
125796,6048,695,1275
31778,5468,805,1545
125796,6854,825,1535
135980,2430,305,545
135980,2632,325,585
135980,4860,675,1285
125807,3226,325,575
125807,3629,375,675
125807,4836,495,915
125807,6048,675,1275
24532,3624,315,565
147731,5468,805,1495
147742,2632,305,535
124470,24,85,85
124470,20,75,75
147742,3040,385,695
147742,3648,475,875
147742,4860,655,1235
124470,3624,315,565
124470,4630,405,745
124470,5436,515,965
147753,2024,265,415
124470,6040,585,1105
147753,2430,305,495
124470,7248,745,1425
147753,4860,675,1235
147753,5468,805,1495
147764,2024,245,415
124479,7248,745,1425
147764,2430,285,495
124488,3624,315,565
147764,2632,305,535
124488,5436,515,965
124488,6040,585,1105
124488,7248,745,1425
124497,3624,315,565
124497,4630,405,745
124497,5436,515,965
124506,5436,515,965
147764,4860,655,1235
147764,5468,785,1495
147815,3629,385,625
147815,4030,455,685
124515,4630,405,745
124515,7248,745,1425
147797,2030,275,475
147797,3654,515,955
124533,30,95,95
124533,24,85,85
124533,3624,315,565
147775,2632,305,535
124533,4630,405,745
147775,2936,355,635
124533,5436,515,965
147775,3040,385,695
147775,3648,475,875
147775,4860,655,1235
147775,5468,785,1495
147786,1620,215,355
147786,2632,305,535
124542,7248,745,1425
147786,2936,355,635
147786,3040,385,695
124551,5436,515,965
147786,4860,655,1235
124551,6040,585,1105
147786,5468,785,1495
24536,1620,215,365
24536,2024,245,425
24536,2430,285,505
24536,2632,305,545
24536,2936,355,645
122171,1620,215,365
122171,2024,245,425
122171,2430,285,505
194083,2430,285,495
194092,3648,475,875
194092,3040,385,695
194092,2936,355,635
194092,2632,305,535
194092,2430,285,495
122182,2632,305,545
194101,36,125,125
122182,2936,355,645
194101,30,95,95
122182,3040,385,705
122182,3648,475,885
122182,4860,655,1245
194101,5468,785,1495
194101,3648,475,875
194101,2936,355,635
122182,5468,785,1505
194101,2632,305,535
122193,1620,215,365
122193,2024,245,425
194155,36,125,125
194155,4836,575,885
122193,5468,785,1505
194110,4860,655,1235
194110,3648,475,875
194110,3040,385,695
194110,2936,355,635
122204,2936,355,645
122204,3040,385,705
194162,36,125,125
122204,3648,475,885
194162,4030,485,705
122215,1624,235,385
194169,4836,575,885
122215,2030,275,465
194169,6048,755,1245
122215,2436,315,545
122215,3046,405,725
122215,3654,515,945
194176,30,95,95
122215,4060,585,1085
160236,24,85,85
122224,4872,775,1405
194065,5468,785,1495
160260,24,75,75
194065,4860,655,1235
125752,24,85,85
125752,3024,305,535
125752,3629,375,675
125752,4030,405,735
194074,30,95,95
125752,4836,495,915
125752,6048,675,1275
125818,24,85,85
194074,5468,785,1495
125818,3624,335,595
194074,4860,655,1235
194074,3648,475,875
125818,5436,535,995
194074,3040,385,695
125818,6040,605,1135
194074,2936,355,635
125818,7248,765,1455
23448,24,85,85
23448,3629,375,675
194148,40,145,145
194148,36,125,125
194148,30,95,95
23448,6048,675,1275
194148,4030,425,705
23448,6854,805,1535
194148,6854,825,1505
194130,5468,875,1495
125763,30,95,95
194130,4860,745,1235
125763,24,85,85
194130,3648,565,875
125763,3024,305,535
125763,3226,325,575
125763,3629,375,675
194121,5468,805,1495
125774,24,85,85
194121,4860,675,1235
194121,3040,405,695
194121,2936,375,635
194083,5468,785,1495
194083,4860,655,1235
194083,3040,385,695
194083,2936,355,635
194083,2632,305,535
125785,3024,305,535
125785,3629,375,675
125785,4836,495,915
125796,3629,395,675
125796,4030,425,735
125796,4836,515,915
31778,2430,305,545
125807,3024,305,535
31778,2632,325,585
31778,2936,375,685
31778,3040,405,745
125807,4030,405,735
31778,3648,495,925
